date,Voltage,Balance,Max Cell,Min Cell,Diff V,Max T,Min T,Diff T,Vrack[V],lrack[A],SOC[%],Relay,FAN,BMS MODE,dianostic
2024-02-13_16:46:51,43.400 V,0x5577aa,3.899 V,3.550 V,0.349 V,6 ¡ÆC,-36 ¡ÆC,42 ¡ÆC,1054,-424.1,60.9,ON,ON,Fault ,9029
2024-02-13_16:46:51,42.100 V,0x6688bb,3.959 V,3.482 V,0.477 V,8 ¡ÆC,-34 ¡ÆC,42 ¡ÆC,1054,-424.1,60.9,ON,ON,Fault ,9029
2024-02-13_16:46:51,44.800 V,0x7799cc,3.893 V,3.597 V,0.296 V,8 ¡ÆC,-36 ¡ÆC,44 ¡ÆC,1054,-424.1,60.9,ON,ON,Fault ,9029
2024-02-13_16:46:51,42.000 V,0x88aadd,3.813 V,3.301 V,0.512 V,0 ¡ÆC,-36 ¡ÆC,36 ¡ÆC,1054,-424.1,60.9,ON,ON,Fault ,9029
2024-02-13_16:46:51,40.200 V,0x99bbee,3.860 V,3.255 V,0.605 V,7 ¡ÆC,-35 ¡ÆC,42 ¡ÆC,1054,-424.1,60.9,ON,ON,Fault ,9029
2024-02-13_16:46:51,40.600 V,0x5577aa,3.924 V,3.216 V,0.708 V,2 ¡ÆC,-31 ¡ÆC,33 ¡ÆC,1054,-424.1,60.9,ON,ON,Fault ,9029
2024-02-13_16:46:51,43.400 V,0x6688bb,3.938 V,3.590 V,0.348 V,5 ¡ÆC,-37 ¡ÆC,42 ¡ÆC,1054,-424.1,60.9,ON,ON,Fault ,9029
2024-02-13_16:46:51,43.200 V,0x7799cc,3.991 V,3.472 V,0.519 V,8 ¡ÆC,-38 ¡ÆC,46 ¡ÆC,1054,-424.1,60.9,ON,ON,Fault ,9029
2024-02-13_16:46:51,41.800 V,0x88aadd,3.829 V,3.542 V,0.287 V,1 ¡ÆC,-32 ¡ÆC,33 ¡ÆC,1054,-424.1,60.9,ON,ON,Fault ,9029
2024-02-13_16:46:51,41.600 V,0x99bbee,3.973 V,3.531 V,0.442 V,0 ¡ÆC,-38 ¡ÆC,38 ¡ÆC,1054,-424.1,60.9,ON,ON,Fault ,9029
2024-02-13_16:46:51,42.700 V,0x5577aa,3.917 V,3.540 V,0.377 V,9 ¡ÆC,-38 ¡ÆC,47 ¡ÆC,1054,-424.1,60.9,ON,ON,Fault ,9029
2024-02-13_16:46:51,40.300 V,0x6688bb,3.813 V,3.247 V,0.566 V,4 ¡ÆC,-40 ¡ÆC,44 ¡ÆC,1054,-424.1,60.9,ON,ON,Fault ,9029
2024-02-13_16:46:51,43.900 V,0x7799cc,3.923 V,3.211 V,0.712 V,3 ¡ÆC,-40 ¡ÆC,43 ¡ÆC,1054,-424.1,60.9,ON,ON,Fault ,9029
2024-02-13_16:46:51,41.300 V,0x88aadd,3.879 V,3.430 V,0.449 V,2 ¡ÆC,-40 ¡ÆC,42 ¡ÆC,1054,-424.1,60.9,ON,ON,Fault ,9029
2024-02-13_16:46:51,40.300 V,0x99bbee,3.874 V,3.366 V,0.508 V,5 ¡ÆC,-31 ¡ÆC,36 ¡ÆC,1054,-424.1,60.9,ON,ON,Fault ,9029
2024-02-13_16:46:51,44.500 V,0x5577aa,3.941 V,3.439 V,0.502 V,6 ¡ÆC,-34 ¡ÆC,40 ¡ÆC,1054,-424.1,60.9,ON,ON,Fault ,9029
2024-02-13_16:46:51,44.100 V,0x6688bb,3.990 V,3.249 V,0.741 V,5 ¡ÆC,-33 ¡ÆC,38 ¡ÆC,1054,-424.1,60.9,ON,ON,Fault ,9029
2024-02-13_16:46:51,40.600 V,0x7799cc,3.949 V,3.348 V,0.601 V,4 ¡ÆC,-34 ¡ÆC,38 ¡ÆC,1054,-424.1,60.9,ON,ON,Fault ,9029
2024-02-13_16:46:51,43.300 V,0x88aadd,3.837 V,3.586 V,0.251 V,6 ¡ÆC,-40 ¡ÆC,46 ¡ÆC,1054,-424.1,60.9,ON,ON,Fault ,9029
2024-02-13_16:46:52,44.600 V,0x5577aa,3.849 V,3.563 V,0.286 V,4 ¡ÆC,-31 ¡ÆC,35 ¡ÆC,1001,-469.7,60.6,ON,ON,Fault ,9029
2024-02-13_16:46:52,43.600 V,0x6688bb,3.938 V,3.265 V,0.673 V,3 ¡ÆC,-38 ¡ÆC,41 ¡ÆC,1001,-469.7,60.6,ON,ON,Fault ,9029
2024-02-13_16:46:52,41.000 V,0x7799cc,3.826 V,3.215 V,0.611 V,7 ¡ÆC,-36 ¡ÆC,43 ¡ÆC,1001,-469.7,60.6,ON,ON,Fault ,9029
2024-02-13_16:46:52,40.000 V,0x88aadd,3.999 V,3.386 V,0.613 V,9 ¡ÆC,-33 ¡ÆC,42 ¡ÆC,1001,-469.7,60.6,ON,ON,Fault ,9029
2024-02-13_16:46:52,40.500 V,0x99bbee,3.806 V,3.441 V,0.365 V,3 ¡ÆC,-37 ¡ÆC,40 ¡ÆC,1001,-469.7,60.6,ON,ON,Fault ,9029
2024-02-13_16:46:52,42.100 V,0x5577aa,3.938 V,3.391 V,0.547 V,4 ¡ÆC,-35 ¡ÆC,39 ¡ÆC,1001,-469.7,60.6,ON,ON,Fault ,9029
2024-02-13_16:46:52,41.900 V,0x6688bb,3.883 V,3.435 V,0.448 V,6 ¡ÆC,-33 ¡ÆC,39 ¡ÆC,1001,-469.7,60.6,ON,ON,Fault ,9029
2024-02-13_16:46:52,44.400 V,0x7799cc,3.882 V,3.455 V,0.427 V,8 ¡ÆC,-35 ¡ÆC,43 ¡ÆC,1001,-469.7,60.6,ON,ON,Fault ,9029
2024-02-13_16:46:52,41.000 V,0x88aadd,3.975 V,3.328 V,0.647 V,2 ¡ÆC,-37 ¡ÆC,39 ¡ÆC,1001,-469.7,60.6,ON,ON,Fault ,9029
2024-02-13_16:46:52,40.800 V,0x99bbee,3.908 V,3.448 V,0.460 V,8 ¡ÆC,-36 ¡ÆC,44 ¡ÆC,1001,-469.7,60.6,ON,ON,Fault ,9029
2024-02-13_16:46:52,40.100 V,0x5577aa,3.876 V,3.222 V,0.654 V,8 ¡ÆC,-37 ¡ÆC,45 ¡ÆC,1001,-469.7,60.6,ON,ON,Fault ,9029
2024-02-13_16:46:52,44.100 V,0x6688bb,3.887 V,3.506 V,0.381 V,6 ¡ÆC,-34 ¡ÆC,40 ¡ÆC,1001,-469.7,60.6,ON,ON,Fault ,9029
2024-02-13_16:46:52,40.700 V,0x7799cc,3.848 V,3.212 V,0.636 V,8 ¡ÆC,-31 ¡ÆC,39 ¡ÆC,1001,-469.7,60.6,ON,ON,Fault ,9029
2024-02-13_16:46:52,44.800 V,0x88aadd,3.935 V,3.514 V,0.421 V,7 ¡ÆC,-31 ¡ÆC,38 ¡ÆC,1001,-469.7,60.6,ON,ON,Fault ,9029
2024-02-13_16:46:52,43.700 V,0x99bbee,3.892 V,3.255 V,0.637 V,5 ¡ÆC,-34 ¡ÆC,39 ¡ÆC,1001,-469.7,60.6,ON,ON,Fault ,9029
2024-02-13_16:46:52,43.100 V,0x5577aa,3.859 V,3.377 V,0.482 V,8 ¡ÆC,-31 ¡ÆC,39 ¡ÆC,1001,-469.7,60.6,ON,ON,Fault ,9029
2024-02-13_16:46:52,43.600 V,0x6688bb,3.890 V,3.453 V,0.437 V,2 ¡ÆC,-31 ¡ÆC,33 ¡ÆC,1001,-469.7,60.6,ON,ON,Fault ,9029
2024-02-13_16:46:52,44.600 V,0x7799cc,3.805 V,3.499 V,0.306 V,6 ¡ÆC,-32 ¡ÆC,38 ¡ÆC,1001,-469.7,60.6,ON,ON,Fault ,9029
2024-02-13_16:46:52,41.600 V,0x88aadd,3.859 V,3.287 V,0.572 V,3 ¡ÆC,-38 ¡ÆC,41 ¡ÆC,1001,-469.7,60.6,ON,ON,Fault ,9029
